Defence,Noise Level,Iteration,Model Pairing,Method Name,Real Samples,Generated Samples,Noised Samples,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,4,3,3,0.20303030303030303,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,4,3,3,0.25681818181818183,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,4,3,3,0.23636363636363636,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,5,4,4,0.27575757575757576,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,5,4,4,0.2840909090909091,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,5,4,4,0.2681818181818182,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,24,21,21,0.2159090909090909,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,24,21,21,0.30227272727272725,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,24,21,21,0.2689393939393939,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,46,43,43,0.4446969696969697,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,46,43,43,0.5121212121212121,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,46,43,43,0.4196969696969697,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,68,65,65,0.6886363636363636,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,68,65,65,0.6886363636363636,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,68,65,65,0.6765151515151515,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,90,87,87,0.8227272727272728,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,90,87,87,0.8386363636363636,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,90,87,87,0.5651515151515152,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,114,108,108,0.8401515151515152,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,114,108,108,0.8477272727272728,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,114,108,108,0.7227272727272728,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,136,130,130,0.8583333333333333,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,136,130,130,0.865909090909091,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,136,130,130,0.8401515151515152,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,157,152,152,0.8931818181818182,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,157,152,152,0.8962121212121212,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,157,152,152,0.8636363636363636,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,180,174,174,0.9121212121212121,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,180,174,174,0.9098484848484848,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,180,174,174,0.7954545454545454,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,202,196,196,0.9257575757575758,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,202,196,196,0.9143939393939394,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,202,196,196,0.8787878787878788,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Probabilistic CopycatCNN,226,217,217,0.9212121212121213,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Argmax CopycatCNN,226,217,217,0.9242424242424242,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,Rocket-LSTM,Adaptive KnockoffNets,226,217,217,0.896969696969697,0.9977272727272727,0.9977272727272727
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,4,3,3,0.16893939393939394,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,4,3,3,0.07954545454545454,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,4,3,3,0.12045454545454545,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,4,3,3,0.10075757575757575,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,4,3,3,0.11363636363636363,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,4,3,3,0.09848484848484848,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,5,4,4,0.11136363636363636,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,5,4,4,0.11893939393939394,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,5,4,4,0.09393939393939393,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,24,21,21,0.1,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,24,21,21,0.09924242424242424,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,24,21,21,0.18712121212121213,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,46,43,43,0.2553030303030303,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,46,43,43,0.4712121212121212,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,46,43,43,0.33106060606060606,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,68,65,65,0.6128787878787879,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,68,65,65,0.45681818181818185,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,68,65,65,0.2727272727272727,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,90,87,87,0.7204545454545455,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,90,87,87,0.725,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,90,87,87,0.6431818181818182,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,114,108,108,0.8045454545454546,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,114,108,108,0.8037878787878788,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,114,108,108,0.43863636363636366,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,136,130,130,0.8272727272727273,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,136,130,130,0.8477272727272728,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,136,130,130,0.8287878787878787,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,157,152,152,0.803030303030303,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,157,152,152,0.8598484848484849,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,157,152,152,0.8348484848484848,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,180,174,174,0.8916666666666667,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,180,174,174,0.8575757575757575,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,180,174,174,0.8727272727272727,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,202,196,196,0.9,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,202,196,196,0.8431818181818181,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,202,196,196,0.8818181818181818,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,226,217,217,0.9136363636363637,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,226,217,217,0.9113636363636364,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,226,217,217,0.9075757575757576,0.9962121212121212,0.9946969696969697
HighConfidence,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,4,3,3,0.20909090909090908,0.9856060606060606,0.9856060606060606
HighConfidence,0.1,1,Hydra-LSTM,Argmax CopycatCNN,4,3,3,0.2159090909090909,0.9856060606060606,0.9856060606060606
HighConfidence,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,4,3,3,0.21893939393939393,0.9856060606060606,0.9856060606060606
HighConfidence,0.1,1,Hydra-LSTM,Probabilistic CopycatCNN,4,3,3,0.3477272727272727,0.9856060606060606,0.9856060606060606
HighConfidence,0.1,1,Hydra-LSTM,Argmax CopycatCNN,4,3,3,0.1946969696969697,0.9856060606060606,0.9856060606060606
HighConfidence,0.1,1,Hydra-LSTM,Adaptive KnockoffNets,4,3,3,0.29924242424242425,0.9856060606060606,0.9856060606060606
