Iteration,Model Pairing,Method Name,Stealing Dataset Size,Accuracy,Original Model Accuracy,Parameter Count,Attack duration
1,ResidualCNN-1_Conv_CNN,Probabilistic CopycatCNN,264,0.9109848484848485,0.9568181818181818,2810,0.5850882530212402
1,ResidualCNN-1_Conv_CNN,Argmax CopycatCNN,264,0.9166666666666666,0.9568181818181818,2810,0.5612893104553223
1,ResidualCNN-1_Conv_CNN,Adaptive KnockoffNets,264,0.9147727272727273,0.9568181818181818,2810,1.1914992332458496
1,ResidualCNN-1_Conv_CNN,Probabilistic CopycatCNN,330,0.9292929292929293,0.9568181818181818,2810,0.7012288570404053
1,ResidualCNN-1_Conv_CNN,Argmax CopycatCNN,330,0.9282828282828283,0.9568181818181818,2810,0.6925230026245117
1,ResidualCNN-1_Conv_CNN,Adaptive KnockoffNets,330,0.9363636363636364,0.9568181818181818,2810,1.478531837463379
1,ResidualCNN-1_Conv_CNN,Probabilistic CopycatCNN,396,0.9372294372294372,0.9568181818181818,2810,0.8244390487670898
1,ResidualCNN-1_Conv_CNN,Argmax CopycatCNN,396,0.9274891774891775,0.9568181818181818,2810,0.793140172958374
1,ResidualCNN-1_Conv_CNN,Adaptive KnockoffNets,396,0.9296536796536796,0.9568181818181818,2810,1.746164083480835
1,ResidualCNN-1_Conv_CNN,Probabilistic CopycatCNN,461,0.9522700814901047,0.9568181818181818,2810,0.9431915283203125
1,ResidualCNN-1_Conv_CNN,Argmax CopycatCNN,461,0.9476135040745053,0.9568181818181818,2810,0.90633225440979
1,ResidualCNN-1_Conv_CNN,Adaptive KnockoffNets,461,0.9289871944121071,0.9568181818181818,2810,2.01818585395813
1,ResidualCNN-1_Conv_CNN,Probabilistic CopycatCNN,528,0.9494949494949495,0.9568181818181818,2810,1.045661211013794
1,ResidualCNN-1_Conv_CNN,Argmax CopycatCNN,528,0.9368686868686869,0.9568181818181818,2810,1.0150847434997559
1,ResidualCNN-1_Conv_CNN,Adaptive KnockoffNets,528,0.9419191919191919,0.9568181818181818,2810,2.263148784637451
1,ResidualCNN-1_Conv_CNN,Probabilistic CopycatCNN,594,0.9517906336088154,0.9568181818181818,2810,1.1826043128967285
1,ResidualCNN-1_Conv_CNN,Argmax CopycatCNN,594,0.9462809917355371,0.9568181818181818,2810,1.1285455226898193
1,ResidualCNN-1_Conv_CNN,Adaptive KnockoffNets,594,0.9435261707988981,0.9568181818181818,2810,2.598936080932617
1,ResidualCNN-1_Conv_CNN,Probabilistic CopycatCNN,660,0.943939393939394,0.9568181818181818,2810,1.4925415515899658
1,ResidualCNN-1_Conv_CNN,Argmax CopycatCNN,660,0.9515151515151515,0.9568181818181818,2810,1.396939992904663
1,ResidualCNN-1_Conv_CNN,Adaptive KnockoffNets,660,0.9484848484848485,0.9568181818181818,2810,2.8299720287323
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,10,0.1763358778625954,0.8636363636363636,2810,0.13166379928588867
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,10,0.4549618320610687,0.8636363636363636,2810,0.11715984344482422
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,10,0.41908396946564885,0.8636363636363636,2810,0.14374804496765137
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,13,0.4720734506503443,0.8636363636363636,2810,0.1105031967163086
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,13,0.5256312165263963,0.8636363636363636,2810,0.10921168327331543
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,13,0.5072685539403213,0.8636363636363636,2810,0.14194583892822266
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,66,0.6291866028708134,0.8636363636363636,2810,0.23369526863098145
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,66,0.6578947368421053,0.8636363636363636,2810,0.23152709007263184
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,66,0.6850079744816587,0.8636363636363636,2810,0.3787980079650879
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,132,0.7104377104377104,0.8636363636363636,2810,0.35544395446777344
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,132,0.734006734006734,0.8636363636363636,2810,0.329789400100708
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,132,0.7794612794612794,0.8636363636363636,2810,0.6327252388000488
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,198,0.8128342245989305,0.8636363636363636,2810,0.4546995162963867
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,198,0.8253119429590018,0.8636363636363636,2810,0.4346461296081543
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,198,0.8244206773618539,0.8636363636363636,2810,0.8954219818115234
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,264,0.8418560606060606,0.8636363636363636,2810,0.584578275680542
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,264,0.8475378787878788,0.8636363636363636,2810,0.5583493709564209
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,264,0.8418560606060606,0.8636363636363636,2810,1.1854290962219238
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,330,0.8666666666666667,0.8636363636363636,2810,0.6905968189239502
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,330,0.8626262626262626,0.8636363636363636,2810,0.6666176319122314
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,330,0.8565656565656565,0.8636363636363636,2810,1.46901535987854
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,396,0.8603896103896104,0.8636363636363636,2810,0.8165910243988037
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,396,0.854978354978355,0.8636363636363636,2810,0.7824792861938477
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,396,0.854978354978355,0.8636363636363636,2810,1.6910951137542725
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,461,0.8509895227008148,0.8636363636363636,2810,0.9414577484130859
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,461,0.8568102444703143,0.8636363636363636,2810,1.0375466346740723
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,461,0.8556461001164144,0.8636363636363636,2810,2.1930158138275146
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,528,0.875,0.8636363636363636,2810,1.1928513050079346
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,528,0.8712121212121212,0.8636363636363636,2810,1.0912528038024902
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,528,0.8712121212121212,0.8636363636363636,2810,2.3112919330596924
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,594,0.8746556473829201,0.8636363636363636,2810,1.3187682628631592
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,594,0.871900826446281,0.8636363636363636,2810,1.203244686126709
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,594,0.8760330578512396,0.8636363636363636,2810,2.6391568183898926
1,BaseCNN1D_Deep-1_Conv_CNN,Probabilistic CopycatCNN,660,0.8651515151515151,0.8636363636363636,2810,1.3022403717041016
1,BaseCNN1D_Deep-1_Conv_CNN,Argmax CopycatCNN,660,0.8666666666666667,0.8636363636363636,2810,1.3175060749053955
1,BaseCNN1D_Deep-1_Conv_CNN,Adaptive KnockoffNets,660,0.8666666666666667,0.8636363636363636,2810,3.1333553791046143
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,10,0.12290076335877863,0.9962121212121212,5530,0.19610381126403809
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,10,0.5473282442748092,0.9962121212121212,5530,0.15542197227478027
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,10,0.44198473282442746,0.9962121212121212,5530,0.1928257942199707
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,13,0.42157612853863813,0.9962121212121212,5530,0.18072509765625
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,13,0.5921958684009181,0.9962121212121212,5530,0.18941903114318848
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,13,0.4590665646518745,0.9962121212121212,5530,0.22868680953979492
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,66,0.7200956937799043,0.9962121212121212,5530,0.49855923652648926
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,66,0.7464114832535885,0.9962121212121212,5530,0.5003368854522705
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,66,0.766347687400319,0.9962121212121212,5530,0.6907713413238525
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,132,0.8518518518518519,0.9962121212121212,5530,0.8143656253814697
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,132,0.8846801346801347,0.9962121212121212,5530,0.8308155536651611
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,132,0.8838383838383839,0.9962121212121212,5530,1.2248969078063965
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,198,0.9144385026737968,0.9962121212121212,5530,1.2152166366577148
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,198,0.9162210338680927,0.9962121212121212,5530,1.1905431747436523
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,198,0.9037433155080213,0.9962121212121212,5530,1.7746891975402832
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,264,0.9195075757575758,0.9962121212121212,5530,1.5892930030822754
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,264,0.928030303030303,0.9962121212121212,5530,1.5591557025909424
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,264,0.9337121212121212,0.9962121212121212,5530,2.3370518684387207
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,330,0.9404040404040404,0.9962121212121212,5530,2.002093553543091
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,330,0.9464646464646465,0.9962121212121212,5530,1.9357895851135254
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,330,0.9444444444444444,0.9962121212121212,5530,2.952791452407837
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,396,0.9502164502164502,0.9962121212121212,5530,2.3602819442749023
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,396,0.9458874458874459,0.9962121212121212,5530,2.432438611984253
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,396,0.9393939393939394,0.9962121212121212,5530,3.5219368934631348
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,461,0.9557625145518044,0.9962121212121212,5530,2.6297812461853027
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,461,0.9604190919674039,0.9962121212121212,5530,2.8241260051727295
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,461,0.9522700814901047,0.9962121212121212,5530,3.8982293605804443
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,528,0.9608585858585859,0.9962121212121212,5530,3.050711154937744
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,528,0.9595959595959596,0.9962121212121212,5530,3.1325788497924805
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,528,0.952020202020202,0.9962121212121212,5530,4.875363111495972
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,594,0.9545454545454546,0.9962121212121212,5530,3.3758370876312256
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,594,0.953168044077135,0.9962121212121212,5530,3.3066823482513428
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,594,0.9476584022038568,0.9962121212121212,5530,5.05609917640686
1,MultiRocket-2_Conv_CNN,Probabilistic CopycatCNN,660,0.9636363636363636,0.9962121212121212,5530,3.927649974822998
1,MultiRocket-2_Conv_CNN,Argmax CopycatCNN,660,0.9666666666666667,0.9962121212121212,5530,3.8624088764190674
1,MultiRocket-2_Conv_CNN,Adaptive KnockoffNets,660,0.9636363636363636,0.9962121212121212,5530,5.81943416595459
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,10,0.1618320610687023,0.9962121212121212,5530,0.15635180473327637
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,10,0.5992366412213741,0.9962121212121212,5530,0.15186834335327148
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,10,0.46946564885496184,0.9962121212121212,5530,0.18269920349121094
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,13,0.5026778882938026,0.9962121212121212,5530,0.1494464874267578
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,13,0.566947207345065,0.9962121212121212,5530,0.13563156127929688
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,13,0.49426166794185156,0.9962121212121212,5530,0.17931008338928223
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,66,0.6698564593301436,0.9962121212121212,5530,0.32210302352905273
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,66,0.6985645933014354,0.9962121212121212,5530,0.287708044052124
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,66,0.7272727272727273,0.9962121212121212,5530,0.47040224075317383
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,132,0.7920875420875421,0.9962121212121212,5530,0.45134687423706055
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,132,0.7996632996632996,0.9962121212121212,5530,0.45052433013916016
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,132,0.8223905723905723,0.9962121212121212,5530,0.7748911380767822
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,198,0.8805704099821747,0.9962121212121212,5530,0.6151111125946045
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,198,0.8805704099821747,0.9962121212121212,5530,0.636364221572876
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,198,0.8716577540106952,0.9962121212121212,5530,1.2065012454986572
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,264,0.896780303030303,0.9962121212121212,5530,0.8012080192565918
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,264,0.8920454545454546,0.9962121212121212,5530,0.9072306156158447
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,264,0.8929924242424242,0.9962121212121212,5530,1.6653013229370117
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,330,0.9191919191919192,0.9962121212121212,5530,1.0518431663513184
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,330,0.9111111111111111,0.9962121212121212,5530,1.0472495555877686
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,330,0.9131313131313131,0.9962121212121212,5530,1.8111791610717773
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,396,0.9307359307359307,0.9962121212121212,5530,1.2606730461120605
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,396,0.9242424242424242,0.9962121212121212,5530,1.1288695335388184
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,396,0.9112554112554112,0.9962121212121212,5530,2.21262264251709
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,461,0.9231664726426076,0.9962121212121212,5530,1.2909533977508545
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,461,0.9161816065192084,0.9962121212121212,5530,1.3032200336456299
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,461,0.9185098952270081,0.9962121212121212,5530,2.5484113693237305
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,528,0.9482323232323232,0.9962121212121212,5530,1.4579517841339111
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,528,0.9242424242424242,0.9962121212121212,5530,1.5988712310791016
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,528,0.9431818181818182,0.9962121212121212,5530,3.1075544357299805
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,594,0.9586776859504132,0.9962121212121212,5530,1.6335225105285645
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,594,0.9614325068870524,0.9962121212121212,5530,1.7820379734039307
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,594,0.9435261707988981,0.9962121212121212,5530,3.1439342498779297
1,MiniRocket-2_Conv_CNN,Probabilistic CopycatCNN,660,0.956060606060606,0.9962121212121212,5530,1.795874834060669
1,MiniRocket-2_Conv_CNN,Argmax CopycatCNN,660,0.9454545454545454,0.9962121212121212,5530,1.7804763317108154
1,MiniRocket-2_Conv_CNN,Adaptive KnockoffNets,660,0.9424242424242424,0.9962121212121212,5530,3.498384952545166
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,10,0.07938931297709924,0.9977272727272727,5530,0.3144996166229248
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,10,0.5358778625954198,0.9977272727272727,5530,0.31470704078674316
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,10,0.3969465648854962,0.9977272727272727,5530,0.3504211902618408
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,13,0.5608263198163733,0.9977272727272727,5530,0.3812906742095947
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,13,0.640397857689365,0.9977272727272727,5530,0.3734898567199707
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,13,0.5103289977046672,0.9977272727272727,5530,0.4120945930480957
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,66,0.6586921850079744,0.9977272727272727,5530,1.522080421447754
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,66,0.7360446570972887,0.9977272727272727,5530,1.5240025520324707
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,66,0.7488038277511961,0.9977272727272727,5530,1.7393238544464111
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,132,0.8392255892255892,0.9977272727272727,5530,2.9102396965026855
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,132,0.8535353535353535,0.9977272727272727,5530,2.9020462036132812
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,132,0.8585858585858586,0.9977272727272727,5530,3.423765182495117
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,198,0.8672014260249554,0.9977272727272727,5530,4.395167112350464
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,198,0.8538324420677362,0.9977272727272727,5530,4.371172666549683
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,198,0.9019607843137255,0.9977272727272727,5530,4.954804420471191
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,264,0.9185606060606061,0.9977272727272727,5530,5.6843039989471436
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,264,0.9261363636363636,0.9977272727272727,5530,5.8301637172698975
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,264,0.928030303030303,0.9977272727272727,5530,6.74444055557251
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,330,0.9343434343434344,0.9977272727272727,5530,7.156573057174683
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,330,0.9373737373737374,0.9977272727272727,5530,7.266498804092407
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,330,0.9252525252525252,0.9977272727272727,5530,8.426902294158936
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,396,0.9415584415584416,0.9977272727272727,5530,8.624053478240967
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,396,0.9458874458874459,0.9977272727272727,5530,8.515023231506348
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,396,0.9383116883116883,0.9977272727272727,5530,9.857530355453491
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,461,0.959254947613504,0.9977272727272727,5530,10.17218828201294
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,461,0.9580908032596042,0.9977272727272727,5530,10.054240703582764
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,461,0.9487776484284052,0.9977272727272727,5530,11.69610595703125
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,528,0.9558080808080808,0.9977272727272727,5530,11.417842149734497
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,528,0.9494949494949495,0.9977272727272727,5530,11.44365644454956
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,528,0.9482323232323232,0.9977272727272727,5530,13.07711672782898
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,594,0.9641873278236914,0.9977272727272727,5530,13.060300827026367
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,594,0.9614325068870524,0.9977272727272727,5530,12.814958810806274
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,594,0.9628099173553719,0.9977272727272727,5530,14.884886741638184
1,Rocket-2_Conv_CNN,Probabilistic CopycatCNN,660,0.9681818181818181,0.9977272727272727,5530,14.40510892868042
1,Rocket-2_Conv_CNN,Argmax CopycatCNN,660,0.9606060606060606,0.9977272727272727,5530,14.277511835098267
1,Rocket-2_Conv_CNN,Adaptive KnockoffNets,660,0.953030303030303,0.9977272727272727,5530,16.32785439491272
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,10,0.13740458015267176,0.9962121212121212,5530,0.16521143913269043
1,MultiRocketHydra-2_Conv_CNN,Argmax CopycatCNN,10,0.39083969465648855,0.9962121212121212,5530,0.17473888397216797
1,MultiRocketHydra-2_Conv_CNN,Adaptive KnockoffNets,10,0.3816793893129771,0.9962121212121212,5530,0.20661401748657227
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,13,0.4575363427697016,0.9962121212121212,5530,0.18259596824645996
1,MultiRocketHydra-2_Conv_CNN,Argmax CopycatCNN,13,0.5019127773527161,0.9962121212121212,5530,0.17107152938842773
1,MultiRocketHydra-2_Conv_CNN,Adaptive KnockoffNets,13,0.4575363427697016,0.9962121212121212,5530,0.24338459968566895
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,66,0.6228070175438597,0.9962121212121212,5530,0.44292378425598145
1,MultiRocketHydra-2_Conv_CNN,Argmax CopycatCNN,66,0.7185007974481659,0.9962121212121212,5530,0.4422569274902344
1,MultiRocketHydra-2_Conv_CNN,Adaptive KnockoffNets,66,0.7113237639553429,0.9962121212121212,5530,0.7967853546142578
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,132,0.8013468013468014,0.9962121212121212,5530,0.7804093360900879
1,MultiRocketHydra-2_Conv_CNN,Argmax CopycatCNN,132,0.8526936026936027,0.9962121212121212,5530,0.7534816265106201
1,MultiRocketHydra-2_Conv_CNN,Adaptive KnockoffNets,132,0.8451178451178452,0.9962121212121212,5530,1.43733549118042
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,198,0.9028520499108734,0.9962121212121212,5530,1.0487658977508545
1,MultiRocketHydra-2_Conv_CNN,Argmax CopycatCNN,198,0.9064171122994652,0.9962121212121212,5530,1.0431036949157715
1,MultiRocketHydra-2_Conv_CNN,Adaptive KnockoffNets,198,0.9126559714795008,0.9962121212121212,5530,2.0543789863586426
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,264,0.9384469696969697,0.9962121212121212,5530,1.4512271881103516
1,MultiRocketHydra-2_Conv_CNN,Argmax CopycatCNN,264,0.9308712121212122,0.9962121212121212,5530,1.3902990818023682
1,MultiRocketHydra-2_Conv_CNN,Adaptive KnockoffNets,264,0.9242424242424242,0.9962121212121212,5530,2.6930763721466064
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,330,0.9404040404040404,0.9962121212121212,5530,1.6900031566619873
1,MultiRocketHydra-2_Conv_CNN,Argmax CopycatCNN,330,0.9404040404040404,0.9962121212121212,5530,1.7378838062286377
1,MultiRocketHydra-2_Conv_CNN,Adaptive KnockoffNets,330,0.9373737373737374,0.9962121212121212,5530,3.449334144592285
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,396,0.9242424242424242,0.9962121212121212,5530,2.1916401386260986
1,MultiRocketHydra-2_Conv_CNN,Argmax CopycatCNN,396,0.9307359307359307,0.9962121212121212,5530,2.038466453552246
1,MultiRocketHydra-2_Conv_CNN,Adaptive KnockoffNets,396,0.933982683982684,0.9962121212121212,5530,4.225626468658447
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,461,0.9545983701979045,0.9962121212121212,5530,2.520366668701172
1,MultiRocketHydra-2_Conv_CNN,Argmax CopycatCNN,461,0.9557625145518044,0.9962121212121212,5530,2.3640220165252686
1,MultiRocketHydra-2_Conv_CNN,Adaptive KnockoffNets,461,0.9522700814901047,0.9962121212121212,5530,4.725876331329346
1,MultiRocketHydra-2_Conv_CNN,Probabilistic CopycatCNN,528,0.9532828282828283,0.9962121212121212,5530,2.7344396114349365
