Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.5,1,Rocket-LSTM,Argmax CopycatCNN,7,6,0.40984848484848485,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,7,6,0.33560606060606063,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,33,33,0.14545454545454545,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,33,33,0.32196969696969696,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,33,33,0.10909090909090909,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,66,66,0.1803030303030303,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,66,66,0.34015151515151515,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,66,66,0.3886363636363636,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,99,99,0.5242424242424243,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,99,99,0.5318181818181819,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,99,99,0.18484848484848485,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,132,132,0.7863636363636364,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,132,132,0.8446969696969697,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,132,132,0.806060606060606,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,165,165,0.8568181818181818,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,165,165,0.8636363636363636,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,165,165,0.6651515151515152,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,198,198,0.8712121212121212,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,198,198,0.8757575757575757,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,198,198,0.8325757575757575,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,231,230,0.8962121212121212,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,231,230,0.875,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,231,230,0.8757575757575757,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,264,264,0.931060606060606,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,264,264,0.9386363636363636,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,264,264,0.9075757575757576,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,297,297,0.9386363636363636,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,297,297,0.9401515151515152,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,297,297,0.9181818181818182,0.9977272727272727
0.5,1,Rocket-LSTM,Probabilistic CopycatCNN,330,330,0.9431818181818182,0.9977272727272727
0.5,1,Rocket-LSTM,Argmax CopycatCNN,330,330,0.8598484848484849,0.9977272727272727
0.5,1,Rocket-LSTM,Adaptive KnockoffNets,330,330,0.8848484848484849,0.9977272727272727
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,1,0,0.10984848484848485,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,1,0,0.0946969696969697,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,1,0,0.0946969696969697,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,3,3,0.1159090909090909,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,3,3,0.10984848484848485,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,3,3,0.0893939393939394,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,7,6,0.23484848484848486,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,7,6,0.2727272727272727,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,7,6,0.225,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,33,33,0.2015151515151515,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,33,33,0.39015151515151514,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,33,33,0.4712121212121212,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,66,66,0.5098484848484849,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,66,66,0.6825757575757576,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,66,66,0.6636363636363637,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,99,99,0.7537878787878788,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,99,99,0.7583333333333333,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,99,99,0.7484848484848485,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,132,132,0.7984848484848485,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,132,132,0.7265151515151516,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,132,132,0.7848484848484848,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,165,165,0.8553030303030303,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,165,165,0.8704545454545455,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,165,165,0.8045454545454546,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,198,198,0.8992424242424243,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,198,198,0.906060606060606,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,198,198,0.11287878787878788,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,231,230,0.9053030303030303,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,231,230,0.9045454545454545,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,231,230,0.7878787878787878,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Probabilistic CopycatCNN,264,264,0.8393939393939394,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Argmax CopycatCNN,264,264,0.9257575757575758,0.9962121212121212
0.5,1,MultiRocketHydra-LSTM,Adaptive KnockoffNets,264,264,0.8878787878787879,0.9962121212121212
